File,Run,Module,Name,
../simulations/results//Exponential-3-S4-X50-k1-t0.5.sca,Exponential-83-20161215-08:08:32-2280,.,X,50
../simulations/results//Exponential-3-S4-X50-k1-t0.5.sca,Exponential-83-20161215-08:08:32-2280,.,k,1
../simulations/results//Exponential-3-S4-X50-k1-t0.5.sca,Exponential-83-20161215-08:08:32-2280,.,switchTime,4
../simulations/results//Exponential-3-S4-X50-k1-t0.5.sca,Exponential-83-20161215-08:08:32-2280,.,t,0.5
../simulations/results//Exponential-3-S4-X50-k1-t0.5.sca,Exponential-83-20161215-08:08:32-2280,AerocomSystem.controlTower,responseTime:mean,199.491
