File,Run,Module,Name,
../simulations/results//Exponential-3-S4-X30-k1-t0.5.sca,Exponential-73-20161215-08:07:04-2150,.,X,30
../simulations/results//Exponential-3-S4-X30-k1-t0.5.sca,Exponential-73-20161215-08:07:04-2150,.,k,1
../simulations/results//Exponential-3-S4-X30-k1-t0.5.sca,Exponential-73-20161215-08:07:04-2150,.,switchTime,4
../simulations/results//Exponential-3-S4-X30-k1-t0.5.sca,Exponential-73-20161215-08:07:04-2150,.,t,0.5
../simulations/results//Exponential-3-S4-X30-k1-t0.5.sca,Exponential-73-20161215-08:07:04-2150,AerocomSystem.controlTower,responseTime:mean,260.698
