File,Run,Module,Name,
../simulations/results//Exponential-2-S8-X30-k1-t6.sca,Exponential-312-20161215-08:36:15-5286,.,X,30
../simulations/results//Exponential-2-S8-X30-k1-t6.sca,Exponential-312-20161215-08:36:15-5286,.,k,1
../simulations/results//Exponential-2-S8-X30-k1-t6.sca,Exponential-312-20161215-08:36:15-5286,.,switchTime,8
../simulations/results//Exponential-2-S8-X30-k1-t6.sca,Exponential-312-20161215-08:36:15-5286,.,t,6
../simulations/results//Exponential-2-S8-X30-k1-t6.sca,Exponential-312-20161215-08:36:15-5286,AerocomSystem.controlTower,responseTime:mean,81.496
