File,Run,Module,Name,
../simulations/results//Exponential-3-S8-X10-k1-t6.sca,Exponential-303-20161215-08:35:23-5162,.,X,10
../simulations/results//Exponential-3-S8-X10-k1-t6.sca,Exponential-303-20161215-08:35:23-5162,.,k,1
../simulations/results//Exponential-3-S8-X10-k1-t6.sca,Exponential-303-20161215-08:35:23-5162,.,switchTime,8
../simulations/results//Exponential-3-S8-X10-k1-t6.sca,Exponential-303-20161215-08:35:23-5162,.,t,6
../simulations/results//Exponential-3-S8-X10-k1-t6.sca,Exponential-303-20161215-08:35:23-5162,AerocomSystem.controlTower,responseTime:mean,154.724
