File,Run,Module,Name,
../simulations/results//Exponential-8-S2-X50-k1-t6.sca,Exponential-238-20161215-08:28:42-4284,.,X,50
../simulations/results//Exponential-8-S2-X50-k1-t6.sca,Exponential-238-20161215-08:28:42-4284,.,k,1
../simulations/results//Exponential-8-S2-X50-k1-t6.sca,Exponential-238-20161215-08:28:42-4284,.,switchTime,2
../simulations/results//Exponential-8-S2-X50-k1-t6.sca,Exponential-238-20161215-08:28:42-4284,.,t,6
../simulations/results//Exponential-8-S2-X50-k1-t6.sca,Exponential-238-20161215-08:28:42-4284,AerocomSystem.controlTower,responseTime:mean,18.3577
