File,Run,Module,Name,
../simulations/results//Exponential-4-S2-X10-k1-t50.sca,Exponential-394-20161215-08:43:15-6363,.,X,10
../simulations/results//Exponential-4-S2-X10-k1-t50.sca,Exponential-394-20161215-08:43:15-6363,.,k,1
../simulations/results//Exponential-4-S2-X10-k1-t50.sca,Exponential-394-20161215-08:43:15-6363,.,switchTime,2
../simulations/results//Exponential-4-S2-X10-k1-t50.sca,Exponential-394-20161215-08:43:15-6363,.,t,50
../simulations/results//Exponential-4-S2-X10-k1-t50.sca,Exponential-394-20161215-08:43:15-6363,AerocomSystem.controlTower,responseTime:mean,18.4792
