File,Run,Module,Name,
../simulations/results//Exponential-7-S0-X10-k1-t0.5.sca,Exponential-7-20161215-07:55:07-1353,.,X,10
../simulations/results//Exponential-7-S0-X10-k1-t0.5.sca,Exponential-7-20161215-07:55:07-1353,.,k,1
../simulations/results//Exponential-7-S0-X10-k1-t0.5.sca,Exponential-7-20161215-07:55:07-1353,.,switchTime,0
../simulations/results//Exponential-7-S0-X10-k1-t0.5.sca,Exponential-7-20161215-07:55:07-1353,.,t,0.5
../simulations/results//Exponential-7-S0-X10-k1-t0.5.sca,Exponential-7-20161215-07:55:07-1353,AerocomSystem.controlTower,responseTime:mean,5.72562
