File,Run,Module,Name,
../simulations/results//Exponential-3-S0-X10-k1-t50.sca,Exponential-363-20161215-08:40:32-5964,.,X,10
../simulations/results//Exponential-3-S0-X10-k1-t50.sca,Exponential-363-20161215-08:40:32-5964,.,k,1
../simulations/results//Exponential-3-S0-X10-k1-t50.sca,Exponential-363-20161215-08:40:32-5964,.,switchTime,0
../simulations/results//Exponential-3-S0-X10-k1-t50.sca,Exponential-363-20161215-08:40:32-5964,.,t,50
../simulations/results//Exponential-3-S0-X10-k1-t50.sca,Exponential-363-20161215-08:40:32-5964,AerocomSystem.controlTower,responseTime:mean,19.4571
