File,Run,Module,Name,
../simulations/results//Exponential-7-S4-X50-k6-t6.sca,Exponential-807-20161215-09:18:44-12010,.,X,50
../simulations/results//Exponential-7-S4-X50-k6-t6.sca,Exponential-807-20161215-09:18:44-12010,.,k,6
../simulations/results//Exponential-7-S4-X50-k6-t6.sca,Exponential-807-20161215-09:18:44-12010,.,switchTime,4
../simulations/results//Exponential-7-S4-X50-k6-t6.sca,Exponential-807-20161215-09:18:44-12010,.,t,6
../simulations/results//Exponential-7-S4-X50-k6-t6.sca,Exponential-807-20161215-09:18:44-12010,AerocomSystem.controlTower,responseTime:mean,1.76134
