File,Run,Module,Name,
../simulations/results//Exponential-8-S2-X30-k1-t50.sca,Exponential-408-20161215-08:44:33-6544,.,X,30
../simulations/results//Exponential-8-S2-X30-k1-t50.sca,Exponential-408-20161215-08:44:33-6544,.,k,1
../simulations/results//Exponential-8-S2-X30-k1-t50.sca,Exponential-408-20161215-08:44:33-6544,.,switchTime,2
../simulations/results//Exponential-8-S2-X30-k1-t50.sca,Exponential-408-20161215-08:44:33-6544,.,t,50
../simulations/results//Exponential-8-S2-X30-k1-t50.sca,Exponential-408-20161215-08:44:33-6544,AerocomSystem.controlTower,responseTime:mean,30.7966
