File,Run,Module,Name,
../simulations/results//Exponential-4-S2-X30-k1-t50.sca,Exponential-404-20161215-08:44:13-6496,.,X,30
../simulations/results//Exponential-4-S2-X30-k1-t50.sca,Exponential-404-20161215-08:44:13-6496,.,k,1
../simulations/results//Exponential-4-S2-X30-k1-t50.sca,Exponential-404-20161215-08:44:13-6496,.,switchTime,2
../simulations/results//Exponential-4-S2-X30-k1-t50.sca,Exponential-404-20161215-08:44:13-6496,.,t,50
../simulations/results//Exponential-4-S2-X30-k1-t50.sca,Exponential-404-20161215-08:44:13-6496,AerocomSystem.controlTower,responseTime:mean,33.5712
