File,Run,Module,Name,
../simulations/results//Exponential-2-S10-X50-k6-t0.5.sca,Exponential-712-20161215-09:15:26-10772,.,X,50
../simulations/results//Exponential-2-S10-X50-k6-t0.5.sca,Exponential-712-20161215-09:15:26-10772,.,k,6
../simulations/results//Exponential-2-S10-X50-k6-t0.5.sca,Exponential-712-20161215-09:15:26-10772,.,switchTime,10
../simulations/results//Exponential-2-S10-X50-k6-t0.5.sca,Exponential-712-20161215-09:15:26-10772,.,t,0.5
../simulations/results//Exponential-2-S10-X50-k6-t0.5.sca,Exponential-712-20161215-09:15:26-10772,AerocomSystem.controlTower,responseTime:mean,5.27669
