File,Run,Module,Name,
../simulations/results//Exponential-6-S8-X30-k1-t50.sca,Exponential-496-20161215-08:52:14-7705,.,X,30
../simulations/results//Exponential-6-S8-X30-k1-t50.sca,Exponential-496-20161215-08:52:14-7705,.,k,1
../simulations/results//Exponential-6-S8-X30-k1-t50.sca,Exponential-496-20161215-08:52:14-7705,.,switchTime,8
../simulations/results//Exponential-6-S8-X30-k1-t50.sca,Exponential-496-20161215-08:52:14-7705,.,t,50
../simulations/results//Exponential-6-S8-X30-k1-t50.sca,Exponential-496-20161215-08:52:14-7705,AerocomSystem.controlTower,responseTime:mean,37.2772
