File,Run,Module,Name,
../simulations/results//Exponential-1-S4-X10-k6-t0.5.sca,Exponential-601-20161215-09:02:56-9103,.,X,10
../simulations/results//Exponential-1-S4-X10-k6-t0.5.sca,Exponential-601-20161215-09:02:56-9103,.,k,6
../simulations/results//Exponential-1-S4-X10-k6-t0.5.sca,Exponential-601-20161215-09:02:56-9103,.,switchTime,4
../simulations/results//Exponential-1-S4-X10-k6-t0.5.sca,Exponential-601-20161215-09:02:56-9103,.,t,0.5
../simulations/results//Exponential-1-S4-X10-k6-t0.5.sca,Exponential-601-20161215-09:02:56-9103,AerocomSystem.controlTower,responseTime:mean,4.10935
