File,Run,Module,Name,
../simulations/results//Exponential-1-S0-X30-k6-t0.5.sca,Exponential-551-20161215-08:57:11-8441,.,X,30
../simulations/results//Exponential-1-S0-X30-k6-t0.5.sca,Exponential-551-20161215-08:57:11-8441,.,k,6
../simulations/results//Exponential-1-S0-X30-k6-t0.5.sca,Exponential-551-20161215-08:57:11-8441,.,switchTime,0
../simulations/results//Exponential-1-S0-X30-k6-t0.5.sca,Exponential-551-20161215-08:57:11-8441,.,t,0.5
../simulations/results//Exponential-1-S0-X30-k6-t0.5.sca,Exponential-551-20161215-08:57:11-8441,AerocomSystem.controlTower,responseTime:mean,1.25116
