File,Run,Module,Name,
../simulations/results//Exponential-2-S0-X10-k6-t6.sca,Exponential-722-20161215-09:16:26-10928,.,X,10
../simulations/results//Exponential-2-S0-X10-k6-t6.sca,Exponential-722-20161215-09:16:26-10928,.,k,6
../simulations/results//Exponential-2-S0-X10-k6-t6.sca,Exponential-722-20161215-09:16:26-10928,.,switchTime,0
../simulations/results//Exponential-2-S0-X10-k6-t6.sca,Exponential-722-20161215-09:16:26-10928,.,t,6
../simulations/results//Exponential-2-S0-X10-k6-t6.sca,Exponential-722-20161215-09:16:26-10928,AerocomSystem.controlTower,responseTime:mean,0.948345
