File,Run,Module,Name,
../simulations/results//Exponential-4-S2-X50-k1-t50.sca,Exponential-414-20161215-08:44:58-6633,.,X,50
../simulations/results//Exponential-4-S2-X50-k1-t50.sca,Exponential-414-20161215-08:44:58-6633,.,k,1
../simulations/results//Exponential-4-S2-X50-k1-t50.sca,Exponential-414-20161215-08:44:58-6633,.,switchTime,2
../simulations/results//Exponential-4-S2-X50-k1-t50.sca,Exponential-414-20161215-08:44:58-6633,.,t,50
../simulations/results//Exponential-4-S2-X50-k1-t50.sca,Exponential-414-20161215-08:44:58-6633,AerocomSystem.controlTower,responseTime:mean,42.7675
