File,Run,Module,Name,
../simulations/results//Exponential-5-S6-X30-k6-t6.sca,Exponential-825-20161215-09:19:15-12244,.,X,30
../simulations/results//Exponential-5-S6-X30-k6-t6.sca,Exponential-825-20161215-09:19:15-12244,.,k,6
../simulations/results//Exponential-5-S6-X30-k6-t6.sca,Exponential-825-20161215-09:19:15-12244,.,switchTime,6
../simulations/results//Exponential-5-S6-X30-k6-t6.sca,Exponential-825-20161215-09:19:15-12244,.,t,6
../simulations/results//Exponential-5-S6-X30-k6-t6.sca,Exponential-825-20161215-09:19:15-12244,AerocomSystem.controlTower,responseTime:mean,3.14285
