File,Run,Module,Name,
../simulations/results//Exponential-7-S4-X10-k1-t0.5.sca,Exponential-67-20161215-08:05:55-2082,.,X,10
../simulations/results//Exponential-7-S4-X10-k1-t0.5.sca,Exponential-67-20161215-08:05:55-2082,.,k,1
../simulations/results//Exponential-7-S4-X10-k1-t0.5.sca,Exponential-67-20161215-08:05:55-2082,.,switchTime,4
../simulations/results//Exponential-7-S4-X10-k1-t0.5.sca,Exponential-67-20161215-08:05:55-2082,.,t,0.5
../simulations/results//Exponential-7-S4-X10-k1-t0.5.sca,Exponential-67-20161215-08:05:55-2082,AerocomSystem.controlTower,responseTime:mean,295.83
