File,Run,Module,Name,
../simulations/results//Exponential-1-S0-X10-k1-t6.sca,Exponential-181-20161215-08:22:54-3521,.,X,10
../simulations/results//Exponential-1-S0-X10-k1-t6.sca,Exponential-181-20161215-08:22:54-3521,.,k,1
../simulations/results//Exponential-1-S0-X10-k1-t6.sca,Exponential-181-20161215-08:22:54-3521,.,switchTime,0
../simulations/results//Exponential-1-S0-X10-k1-t6.sca,Exponential-181-20161215-08:22:54-3521,.,t,6
../simulations/results//Exponential-1-S0-X10-k1-t6.sca,Exponential-181-20161215-08:22:54-3521,AerocomSystem.airCraft[0].fifo,queueLength:max,13
../simulations/results//Exponential-1-S0-X10-k1-t6.sca,Exponential-181-20161215-08:22:54-3521,AerocomSystem.airCraft[0].fifo,queueLength:mean,2.09792
../simulations/results//Exponential-1-S0-X10-k1-t6.sca,Exponential-181-20161215-08:22:54-3521,AerocomSystem.airCraft[0].router,numSwitch:sum,77
../simulations/results//Exponential-1-S0-X10-k1-t6.sca,Exponential-181-20161215-08:22:54-3521,AerocomSystem.airCraft[1].fifo,queueLength:max,13
../simulations/results//Exponential-1-S0-X10-k1-t6.sca,Exponential-181-20161215-08:22:54-3521,AerocomSystem.airCraft[1].fifo,queueLength:mean,2.45325
../simulations/results//Exponential-1-S0-X10-k1-t6.sca,Exponential-181-20161215-08:22:54-3521,AerocomSystem.airCraft[1].router,numSwitch:sum,65
../simulations/results//Exponential-1-S0-X10-k1-t6.sca,Exponential-181-20161215-08:22:54-3521,AerocomSystem.airCraft[2].fifo,queueLength:max,19
../simulations/results//Exponential-1-S0-X10-k1-t6.sca,Exponential-181-20161215-08:22:54-3521,AerocomSystem.airCraft[2].fifo,queueLength:mean,3.91119
../simulations/results//Exponential-1-S0-X10-k1-t6.sca,Exponential-181-20161215-08:22:54-3521,AerocomSystem.airCraft[2].router,numSwitch:sum,73
../simulations/results//Exponential-1-S0-X10-k1-t6.sca,Exponential-181-20161215-08:22:54-3521,AerocomSystem.airCraft[3].fifo,queueLength:max,9
../simulations/results//Exponential-1-S0-X10-k1-t6.sca,Exponential-181-20161215-08:22:54-3521,AerocomSystem.airCraft[3].fifo,queueLength:mean,1.99746
../simulations/results//Exponential-1-S0-X10-k1-t6.sca,Exponential-181-20161215-08:22:54-3521,AerocomSystem.airCraft[3].router,numSwitch:sum,57
../simulations/results//Exponential-1-S0-X10-k1-t6.sca,Exponential-181-20161215-08:22:54-3521,AerocomSystem.airCraft[4].fifo,queueLength:max,20
../simulations/results//Exponential-1-S0-X10-k1-t6.sca,Exponential-181-20161215-08:22:54-3521,AerocomSystem.airCraft[4].fifo,queueLength:mean,4.40189
../simulations/results//Exponential-1-S0-X10-k1-t6.sca,Exponential-181-20161215-08:22:54-3521,AerocomSystem.airCraft[4].router,numSwitch:sum,77
../simulations/results//Exponential-1-S0-X10-k1-t6.sca,Exponential-181-20161215-08:22:54-3521,AerocomSystem.airCraft[5].fifo,queueLength:max,28
../simulations/results//Exponential-1-S0-X10-k1-t6.sca,Exponential-181-20161215-08:22:54-3521,AerocomSystem.airCraft[5].fifo,queueLength:mean,4.35337
../simulations/results//Exponential-1-S0-X10-k1-t6.sca,Exponential-181-20161215-08:22:54-3521,AerocomSystem.airCraft[5].router,numSwitch:sum,65
../simulations/results//Exponential-1-S0-X10-k1-t6.sca,Exponential-181-20161215-08:22:54-3521,AerocomSystem.airCraft[6].fifo,queueLength:max,19
../simulations/results//Exponential-1-S0-X10-k1-t6.sca,Exponential-181-20161215-08:22:54-3521,AerocomSystem.airCraft[6].fifo,queueLength:mean,2.99046
../simulations/results//Exponential-1-S0-X10-k1-t6.sca,Exponential-181-20161215-08:22:54-3521,AerocomSystem.airCraft[6].router,numSwitch:sum,69
../simulations/results//Exponential-1-S0-X10-k1-t6.sca,Exponential-181-20161215-08:22:54-3521,AerocomSystem.airCraft[7].fifo,queueLength:max,15
../simulations/results//Exponential-1-S0-X10-k1-t6.sca,Exponential-181-20161215-08:22:54-3521,AerocomSystem.airCraft[7].fifo,queueLength:mean,3.00946
../simulations/results//Exponential-1-S0-X10-k1-t6.sca,Exponential-181-20161215-08:22:54-3521,AerocomSystem.airCraft[7].router,numSwitch:sum,80
../simulations/results//Exponential-1-S0-X10-k1-t6.sca,Exponential-181-20161215-08:22:54-3521,AerocomSystem.airCraft[8].fifo,queueLength:max,19
../simulations/results//Exponential-1-S0-X10-k1-t6.sca,Exponential-181-20161215-08:22:54-3521,AerocomSystem.airCraft[8].fifo,queueLength:mean,3.11157
../simulations/results//Exponential-1-S0-X10-k1-t6.sca,Exponential-181-20161215-08:22:54-3521,AerocomSystem.airCraft[8].router,numSwitch:sum,64
../simulations/results//Exponential-1-S0-X10-k1-t6.sca,Exponential-181-20161215-08:22:54-3521,AerocomSystem.airCraft[9].fifo,queueLength:max,11
../simulations/results//Exponential-1-S0-X10-k1-t6.sca,Exponential-181-20161215-08:22:54-3521,AerocomSystem.airCraft[9].fifo,queueLength:mean,1.72113
../simulations/results//Exponential-1-S0-X10-k1-t6.sca,Exponential-181-20161215-08:22:54-3521,AerocomSystem.airCraft[9].router,numSwitch:sum,59
../simulations/results//Exponential-1-S0-X10-k1-t6.sca,Exponential-181-20161215-08:22:54-3521,AerocomSystem.airCraft[10].fifo,queueLength:max,20
