File,Run,Module,Name,
../simulations/results//Exponential-7-S6-X10-k6-t0.5.sca,Exponential-637-20161215-09:07:01-9591,.,X,10
../simulations/results//Exponential-7-S6-X10-k6-t0.5.sca,Exponential-637-20161215-09:07:01-9591,.,k,6
../simulations/results//Exponential-7-S6-X10-k6-t0.5.sca,Exponential-637-20161215-09:07:01-9591,.,switchTime,6
../simulations/results//Exponential-7-S6-X10-k6-t0.5.sca,Exponential-637-20161215-09:07:01-9591,.,t,0.5
../simulations/results//Exponential-7-S6-X10-k6-t0.5.sca,Exponential-637-20161215-09:07:01-9591,AerocomSystem.airCraft[0].fifo,queueLength:max,6
../simulations/results//Exponential-7-S6-X10-k6-t0.5.sca,Exponential-637-20161215-09:07:01-9591,AerocomSystem.airCraft[0].fifo,queueLength:mean,1.68824
../simulations/results//Exponential-7-S6-X10-k6-t0.5.sca,Exponential-637-20161215-09:07:01-9591,AerocomSystem.airCraft[0].router,numSwitch:sum,56
../simulations/results//Exponential-7-S6-X10-k6-t0.5.sca,Exponential-637-20161215-09:07:01-9591,AerocomSystem.airCraft[1].fifo,queueLength:max,4
../simulations/results//Exponential-7-S6-X10-k6-t0.5.sca,Exponential-637-20161215-09:07:01-9591,AerocomSystem.airCraft[1].fifo,queueLength:mean,1.02459
../simulations/results//Exponential-7-S6-X10-k6-t0.5.sca,Exponential-637-20161215-09:07:01-9591,AerocomSystem.airCraft[1].router,numSwitch:sum,47
../simulations/results//Exponential-7-S6-X10-k6-t0.5.sca,Exponential-637-20161215-09:07:01-9591,AerocomSystem.airCraft[2].fifo,queueLength:max,6
../simulations/results//Exponential-7-S6-X10-k6-t0.5.sca,Exponential-637-20161215-09:07:01-9591,AerocomSystem.airCraft[2].fifo,queueLength:mean,1.41262
../simulations/results//Exponential-7-S6-X10-k6-t0.5.sca,Exponential-637-20161215-09:07:01-9591,AerocomSystem.airCraft[2].router,numSwitch:sum,60
../simulations/results//Exponential-7-S6-X10-k6-t0.5.sca,Exponential-637-20161215-09:07:01-9591,AerocomSystem.airCraft[3].fifo,queueLength:max,5
../simulations/results//Exponential-7-S6-X10-k6-t0.5.sca,Exponential-637-20161215-09:07:01-9591,AerocomSystem.airCraft[3].fifo,queueLength:mean,1.41089
../simulations/results//Exponential-7-S6-X10-k6-t0.5.sca,Exponential-637-20161215-09:07:01-9591,AerocomSystem.airCraft[3].router,numSwitch:sum,57
../simulations/results//Exponential-7-S6-X10-k6-t0.5.sca,Exponential-637-20161215-09:07:01-9591,AerocomSystem.airCraft[4].fifo,queueLength:max,5
../simulations/results//Exponential-7-S6-X10-k6-t0.5.sca,Exponential-637-20161215-09:07:01-9591,AerocomSystem.airCraft[4].fifo,queueLength:mean,1.23196
../simulations/results//Exponential-7-S6-X10-k6-t0.5.sca,Exponential-637-20161215-09:07:01-9591,AerocomSystem.airCraft[4].router,numSwitch:sum,62
../simulations/results//Exponential-7-S6-X10-k6-t0.5.sca,Exponential-637-20161215-09:07:01-9591,AerocomSystem.airCraft[5].fifo,queueLength:max,5
../simulations/results//Exponential-7-S6-X10-k6-t0.5.sca,Exponential-637-20161215-09:07:01-9591,AerocomSystem.airCraft[5].fifo,queueLength:mean,1.2973
../simulations/results//Exponential-7-S6-X10-k6-t0.5.sca,Exponential-637-20161215-09:07:01-9591,AerocomSystem.airCraft[5].router,numSwitch:sum,56
../simulations/results//Exponential-7-S6-X10-k6-t0.5.sca,Exponential-637-20161215-09:07:01-9591,AerocomSystem.airCraft[6].fifo,queueLength:max,5
../simulations/results//Exponential-7-S6-X10-k6-t0.5.sca,Exponential-637-20161215-09:07:01-9591,AerocomSystem.airCraft[6].fifo,queueLength:mean,1.5099
../simulations/results//Exponential-7-S6-X10-k6-t0.5.sca,Exponential-637-20161215-09:07:01-9591,AerocomSystem.airCraft[6].router,numSwitch:sum,56
../simulations/results//Exponential-7-S6-X10-k6-t0.5.sca,Exponential-637-20161215-09:07:01-9591,AerocomSystem.airCraft[7].fifo,queueLength:max,8
../simulations/results//Exponential-7-S6-X10-k6-t0.5.sca,Exponential-637-20161215-09:07:01-9591,AerocomSystem.airCraft[7].fifo,queueLength:mean,1.66667
../simulations/results//Exponential-7-S6-X10-k6-t0.5.sca,Exponential-637-20161215-09:07:01-9591,AerocomSystem.airCraft[7].router,numSwitch:sum,61
../simulations/results//Exponential-7-S6-X10-k6-t0.5.sca,Exponential-637-20161215-09:07:01-9591,AerocomSystem.airCraft[8].fifo,queueLength:max,5
../simulations/results//Exponential-7-S6-X10-k6-t0.5.sca,Exponential-637-20161215-09:07:01-9591,AerocomSystem.airCraft[8].fifo,queueLength:mean,1.20408
../simulations/results//Exponential-7-S6-X10-k6-t0.5.sca,Exponential-637-20161215-09:07:01-9591,AerocomSystem.airCraft[8].router,numSwitch:sum,57
../simulations/results//Exponential-7-S6-X10-k6-t0.5.sca,Exponential-637-20161215-09:07:01-9591,AerocomSystem.airCraft[9].fifo,queueLength:max,8
../simulations/results//Exponential-7-S6-X10-k6-t0.5.sca,Exponential-637-20161215-09:07:01-9591,AerocomSystem.airCraft[9].fifo,queueLength:mean,1.80296
../simulations/results//Exponential-7-S6-X10-k6-t0.5.sca,Exponential-637-20161215-09:07:01-9591,AerocomSystem.airCraft[9].router,numSwitch:sum,64
../simulations/results//Exponential-7-S6-X10-k6-t0.5.sca,Exponential-637-20161215-09:07:01-9591,AerocomSystem.airCraft[10].fifo,queueLength:max,7
../simulations/results//Exponential-7-S6-X10-k6-t0.5.sca,Exponential-637-20161215-09:07:01-9591,AerocomSystem.airCraft[10].fifo,queueLength:mean,1.91096
../simulations/results//Exponential-7-S6-X10-k6-t0.5.sca,Exponential-637-20161215-09:07:01-9591,AerocomSystem.airCraft[10].router,numSwitch:sum,45
../simulations/results//Exponential-7-S6-X10-k6-t0.5.sca,Exponential-637-20161215-09:07:01-9591,AerocomSystem.airCraft[11].fifo,queueLength:max,7
../simulations/results//Exponential-7-S6-X10-k6-t0.5.sca,Exponential-637-20161215-09:07:01-9591,AerocomSystem.airCraft[11].fifo,queueLength:mean,1.47872
../simulations/results//Exponential-7-S6-X10-k6-t0.5.sca,Exponential-637-20161215-09:07:01-9591,AerocomSystem.airCraft[11].router,numSwitch:sum,60
../simulations/results//Exponential-7-S6-X10-k6-t0.5.sca,Exponential-637-20161215-09:07:01-9591,AerocomSystem.airCraft[12].fifo,queueLength:max,5
../simulations/results//Exponential-7-S6-X10-k6-t0.5.sca,Exponential-637-20161215-09:07:01-9591,AerocomSystem.airCraft[12].fifo,queueLength:mean,1.04444
../simulations/results//Exponential-7-S6-X10-k6-t0.5.sca,Exponential-637-20161215-09:07:01-9591,AerocomSystem.airCraft[12].router,numSwitch:sum,62
../simulations/results//Exponential-7-S6-X10-k6-t0.5.sca,Exponential-637-20161215-09:07:01-9591,AerocomSystem.airCraft[13].fifo,queueLength:max,5
../simulations/results//Exponential-7-S6-X10-k6-t0.5.sca,Exponential-637-20161215-09:07:01-9591,AerocomSystem.airCraft[13].fifo,queueLength:mean,1.34783
../simulations/results//Exponential-7-S6-X10-k6-t0.5.sca,Exponential-637-20161215-09:07:01-9591,AerocomSystem.airCraft[13].router,numSwitch:sum,58
../simulations/results//Exponential-7-S6-X10-k6-t0.5.sca,Exponential-637-20161215-09:07:01-9591,AerocomSystem.airCraft[14].fifo,queueLength:max,7
../simulations/results//Exponential-7-S6-X10-k6-t0.5.sca,Exponential-637-20161215-09:07:01-9591,AerocomSystem.airCraft[14].fifo,queueLength:mean,1.48876
../simulations/results//Exponential-7-S6-X10-k6-t0.5.sca,Exponential-637-20161215-09:07:01-9591,AerocomSystem.airCraft[14].router,numSwitch:sum,54
../simulations/results//Exponential-7-S6-X10-k6-t0.5.sca,Exponential-637-20161215-09:07:01-9591,AerocomSystem.airCraft[15].fifo,queueLength:max,5
../simulations/results//Exponential-7-S6-X10-k6-t0.5.sca,Exponential-637-20161215-09:07:01-9591,AerocomSystem.airCraft[15].fifo,queueLength:mean,1.56667
../simulations/results//Exponential-7-S6-X10-k6-t0.5.sca,Exponential-637-20161215-09:07:01-9591,AerocomSystem.airCraft[15].router,numSwitch:sum,57
../simulations/results//Exponential-7-S6-X10-k6-t0.5.sca,Exponential-637-20161215-09:07:01-9591,AerocomSystem.airCraft[16].fifo,queueLength:max,7
../simulations/results//Exponential-7-S6-X10-k6-t0.5.sca,Exponential-637-20161215-09:07:01-9591,AerocomSystem.airCraft[16].fifo,queueLength:mean,1.44068
../simulations/results//Exponential-7-S6-X10-k6-t0.5.sca,Exponential-637-20161215-09:07:01-9591,AerocomSystem.airCraft[16].router,numSwitch:sum,54
../simulations/results//Exponential-7-S6-X10-k6-t0.5.sca,Exponential-637-20161215-09:07:01-9591,AerocomSystem.airCraft[17].fifo,queueLength:max,4
../simulations/results//Exponential-7-S6-X10-k6-t0.5.sca,Exponential-637-20161215-09:07:01-9591,AerocomSystem.airCraft[17].fifo,queueLength:mean,1.2
../simulations/results//Exponential-7-S6-X10-k6-t0.5.sca,Exponential-637-20161215-09:07:01-9591,AerocomSystem.airCraft[17].router,numSwitch:sum,47
../simulations/results//Exponential-7-S6-X10-k6-t0.5.sca,Exponential-637-20161215-09:07:01-9591,AerocomSystem.airCraft[18].fifo,queueLength:max,5
../simulations/results//Exponential-7-S6-X10-k6-t0.5.sca,Exponential-637-20161215-09:07:01-9591,AerocomSystem.airCraft[18].fifo,queueLength:mean,1.18605
../simulations/results//Exponential-7-S6-X10-k6-t0.5.sca,Exponential-637-20161215-09:07:01-9591,AerocomSystem.airCraft[18].router,numSwitch:sum,49
../simulations/results//Exponential-7-S6-X10-k6-t0.5.sca,Exponential-637-20161215-09:07:01-9591,AerocomSystem.airCraft[19].fifo,queueLength:max,6
../simulations/results//Exponential-7-S6-X10-k6-t0.5.sca,Exponential-637-20161215-09:07:01-9591,AerocomSystem.airCraft[19].fifo,queueLength:mean,1.40476
../simulations/results//Exponential-7-S6-X10-k6-t0.5.sca,Exponential-637-20161215-09:07:01-9591,AerocomSystem.airCraft[19].router,numSwitch:sum,51
../simulations/results//Exponential-7-S6-X10-k6-t0.5.sca,Exponential-637-20161215-09:07:01-9591,AerocomSystem.airCraft[20].fifo,queueLength:max,5
../simulations/results//Exponential-7-S6-X10-k6-t0.5.sca,Exponential-637-20161215-09:07:01-9591,AerocomSystem.airCraft[20].fifo,queueLength:mean,1.17347
../simulations/results//Exponential-7-S6-X10-k6-t0.5.sca,Exponential-637-20161215-09:07:01-9591,AerocomSystem.airCraft[20].router,numSwitch:sum,64
../simulations/results//Exponential-7-S6-X10-k6-t0.5.sca,Exponential-637-20161215-09:07:01-9591,AerocomSystem.airCraft[21].fifo,queueLength:max,8
../simulations/results//Exponential-7-S6-X10-k6-t0.5.sca,Exponential-637-20161215-09:07:01-9591,AerocomSystem.airCraft[21].fifo,queueLength:mean,1.51961
../simulations/results//Exponential-7-S6-X10-k6-t0.5.sca,Exponential-637-20161215-09:07:01-9591,AerocomSystem.airCraft[21].router,numSwitch:sum,64
../simulations/results//Exponential-7-S6-X10-k6-t0.5.sca,Exponential-637-20161215-09:07:01-9591,AerocomSystem.airCraft[22].fifo,queueLength:max,5
../simulations/results//Exponential-7-S6-X10-k6-t0.5.sca,Exponential-637-20161215-09:07:01-9591,AerocomSystem.airCraft[22].fifo,queueLength:mean,1.26471
../simulations/results//Exponential-7-S6-X10-k6-t0.5.sca,Exponential-637-20161215-09:07:01-9591,AerocomSystem.airCraft[22].router,numSwitch:sum,59
../simulations/results//Exponential-7-S6-X10-k6-t0.5.sca,Exponential-637-20161215-09:07:01-9591,AerocomSystem.airCraft[23].fifo,queueLength:max,5
