File,Run,Module,Name,
../simulations/results//Exponential-2-S0-X10-k1-t0.5.sca,Exponential-2-20161215-07:54:25-1284,.,X,10
../simulations/results//Exponential-2-S0-X10-k1-t0.5.sca,Exponential-2-20161215-07:54:25-1284,.,k,1
../simulations/results//Exponential-2-S0-X10-k1-t0.5.sca,Exponential-2-20161215-07:54:25-1284,.,switchTime,0
../simulations/results//Exponential-2-S0-X10-k1-t0.5.sca,Exponential-2-20161215-07:54:25-1284,.,t,0.5
../simulations/results//Exponential-2-S0-X10-k1-t0.5.sca,Exponential-2-20161215-07:54:25-1284,AerocomSystem.airCraft[0].fifo,queueLength:max,35
../simulations/results//Exponential-2-S0-X10-k1-t0.5.sca,Exponential-2-20161215-07:54:25-1284,AerocomSystem.airCraft[0].fifo,queueLength:mean,9.00256
../simulations/results//Exponential-2-S0-X10-k1-t0.5.sca,Exponential-2-20161215-07:54:25-1284,AerocomSystem.airCraft[0].router,numSwitch:sum,331
../simulations/results//Exponential-2-S0-X10-k1-t0.5.sca,Exponential-2-20161215-07:54:25-1284,AerocomSystem.airCraft[1].fifo,queueLength:max,21
../simulations/results//Exponential-2-S0-X10-k1-t0.5.sca,Exponential-2-20161215-07:54:25-1284,AerocomSystem.airCraft[1].fifo,queueLength:mean,4.65973
../simulations/results//Exponential-2-S0-X10-k1-t0.5.sca,Exponential-2-20161215-07:54:25-1284,AerocomSystem.airCraft[1].router,numSwitch:sum,304
../simulations/results//Exponential-2-S0-X10-k1-t0.5.sca,Exponential-2-20161215-07:54:25-1284,AerocomSystem.airCraft[2].fifo,queueLength:max,18
../simulations/results//Exponential-2-S0-X10-k1-t0.5.sca,Exponential-2-20161215-07:54:25-1284,AerocomSystem.airCraft[2].fifo,queueLength:mean,5.82781
../simulations/results//Exponential-2-S0-X10-k1-t0.5.sca,Exponential-2-20161215-07:54:25-1284,AerocomSystem.airCraft[2].router,numSwitch:sum,318
../simulations/results//Exponential-2-S0-X10-k1-t0.5.sca,Exponential-2-20161215-07:54:25-1284,AerocomSystem.airCraft[3].fifo,queueLength:max,14
../simulations/results//Exponential-2-S0-X10-k1-t0.5.sca,Exponential-2-20161215-07:54:25-1284,AerocomSystem.airCraft[3].fifo,queueLength:mean,4.33632
../simulations/results//Exponential-2-S0-X10-k1-t0.5.sca,Exponential-2-20161215-07:54:25-1284,AerocomSystem.airCraft[3].router,numSwitch:sum,321
../simulations/results//Exponential-2-S0-X10-k1-t0.5.sca,Exponential-2-20161215-07:54:25-1284,AerocomSystem.airCraft[4].fifo,queueLength:max,20
../simulations/results//Exponential-2-S0-X10-k1-t0.5.sca,Exponential-2-20161215-07:54:25-1284,AerocomSystem.airCraft[4].fifo,queueLength:mean,5.25134
../simulations/results//Exponential-2-S0-X10-k1-t0.5.sca,Exponential-2-20161215-07:54:25-1284,AerocomSystem.airCraft[4].router,numSwitch:sum,334
../simulations/results//Exponential-2-S0-X10-k1-t0.5.sca,Exponential-2-20161215-07:54:25-1284,AerocomSystem.airCraft[5].fifo,queueLength:max,19
../simulations/results//Exponential-2-S0-X10-k1-t0.5.sca,Exponential-2-20161215-07:54:25-1284,AerocomSystem.airCraft[5].fifo,queueLength:mean,4.25075
../simulations/results//Exponential-2-S0-X10-k1-t0.5.sca,Exponential-2-20161215-07:54:25-1284,AerocomSystem.airCraft[5].router,numSwitch:sum,285
../simulations/results//Exponential-2-S0-X10-k1-t0.5.sca,Exponential-2-20161215-07:54:25-1284,AerocomSystem.airCraft[6].fifo,queueLength:max,16
../simulations/results//Exponential-2-S0-X10-k1-t0.5.sca,Exponential-2-20161215-07:54:25-1284,AerocomSystem.airCraft[6].fifo,queueLength:mean,4.06453
../simulations/results//Exponential-2-S0-X10-k1-t0.5.sca,Exponential-2-20161215-07:54:25-1284,AerocomSystem.airCraft[6].router,numSwitch:sum,309
