X,AerocomSystem.controlTower/responseTime:vector
2.074483292814,2.07448
2.095020645119,2.09502
2.100147905723,2.10015
2.143838587279,2.14384
2.185871460656,2.18587
2.191339040333,2.19134
2.262312672867,2.26231
2.263474519564,2.26347
2.464209346986,2.46421
2.607737879664,2.60774
2.662274408719,2.66227
2.670705694901,2.67071
2.879895704068,2.8799
2.93052471223,2.93052
3.177561501535,3.17756
3.518101883676,3.5181
3.531679822704,3.53168
3.537826915157,3.53783
3.630336364266,3.63034
3.646157307437,3.64616
3.668009735876,3.66801
3.700968020802,3.70097
3.875897742239,3.8759
3.951710397492,3.95171
4.022064934782,4.02206
4.140776452715,4.14078
4.209472769222,4.20947
4.298170843008,3.72023
4.346459576794,4.34646
4.784085514527,4.19473
4.816529762583,3.81521
4.882928179319,4.51118
5.108961456743,4.72673
5.121001231148,3.39589
5.122086993839,5.12209
5.240317919571,4.98775
5.353079783589,5.35308
5.431993047554,5.43199
5.539049421057,5.23354
5.746544004742,5.74654
5.776395115694,4.40555
5.780576625538,5.73188
5.864040431478,5.86404
5.864794903475,5.59313
5.865395336473,5.8654
5.872862361794,5.87286
5.966839263128,5.96684
6.024821243614,6.02482
6.060245905188,5.95719
6.080026228023,6.08003
6.149745659126,5.96974
6.301923500719,6.03212
6.457442775211,6.45744
6.558036141105,6.00409
6.560707300444,6.56071
6.645584704115,6.64558
6.703072509261,6.43303
6.911793453809,6.91179
7.036176306443,4.09981
7.163860655701,6.2477
7.186913229066,6.57014
7.250740080429,7.25074
7.384969575937,6.44856
7.401275912964,6.96457
7.715475684558,7.4338
7.81908730271,7.45402
7.820718654348,7.82072
8.02358322545,7.97514
8.05197667127,8.05198
8.094259454007,8.09426
8.097201382559,6.69771
8.197987110627,6.07215
8.20127059791,7.98928
8.3468172975,8.05677
8.353089135658,8.06404
8.360042312818,6.72695
8.365750392799,7.55917
8.445683659328,7.20729
8.607781719497,7.67427
8.690670064179,6.93025
8.704266642511,8.45154
8.828568873183,8.54929
8.922368892185,8.92237
9.014974667388,8.88032
9.01808784061,8.3599
9.0388335213,9.03883
9.08450476899,9.0845
9.343388811394,8.03811
9.406784632608,5.2293
9.536903867545,9.1279
9.601393301876,9.60139
9.687435756839,9.39443
9.707410068944,9.63177
9.758944046775,9.12188
9.97835997238,9.89901
10.023638216861,9.83562
10.204580025517,9.15927
10.21900723769,10.1046
10.321307066037,9.82397
10.342272079064,10.0968
10.50460317677,10.1176
10.601477494216,6.72905
10.610927320578,9.98159
10.620458438653,9.79007
10.716644562557,8.59532
10.748037682151,8.66784
10.852718717558,9.50448
11.028772840713,9.42363
11.077367810967,10.0601
11.110911308553,11.1109
11.161340985357,10.1886
11.252085524898,10.1997
11.341209781234,8.8035
11.347981343143,10.7929
11.375107975593,10.8923
11.413732529222,11.3209
11.476364374351,11.2885
11.543693407677,8.06914
11.978791870945,10.2604
11.99094370447,10.7574
12.013704280098,11.8833
12.211809396882,10.6066
12.440095581627,11.2876
12.46229701597,11.1187
12.62659349496,11.4001
12.665740598224,11.9123
12.780537996148,12.7667
12.798520279627,10.5552
12.860552231091,12.3248
12.919326871081,11.8758
12.940462302088,11.7501
13.054141828823,12.1848
13.101567737231,12.9292
13.293905660754,12.8924
13.308115716521,12.4827
13.384457037545,11.2151
13.389171693419,11.642
13.492942686742,13.2579
13.586426753372,13.5179
13.594093086339,12.1903
13.609587515334,13.0572
13.667812503617,13.1039
13.980643793384,13.2642
14.173759602406,10.5248
14.228160721816,13.0845
14.324679132512,10.3141
14.439703548904,14.3293
14.442333790512,13.4349
14.57665862297,12.4575
14.652642670487,13.2759
14.758796416099,14.0494
15.041036788442,14.0585
15.249454664206,14.4378
15.255673232404,14.4849
15.311534890987,14.6243
15.312590988421,12.6218
15.362361277755,14.2373
15.50232829037,10.2079
15.852846816012,14.0568
15.868645245396,14.5016
15.88171327512,14.6227
15.886419298068,15.077
15.894755788334,13.716
15.959206216053,14.3121
16.011224634632,12.7721
16.083414460639,14.4669
16.088773790041,15.3705
16.498112629689,12.8082
16.509414878086,15.3641
16.702821825444,15.5976
16.772746350715,14.2005
16.861198328055,16.5495
16.951977299735,16.0546
17.059543716144,15.969
17.233136046184,15.9654
17.323038619417,16.1359
17.388791027715,16.8432
17.428213222011,15.8186
17.594320915449,17.2353
17.622760146069,16.8462
17.679649198218,15.5837
17.86068937012,16.2451
18.064300485395,17.9758
18.378974311479,17.3582
18.514061481749,16.6754
18.616112458638,18.454
18.674919166245,16.3708
18.843196689059,17.1881
18.858453945207,16.2382
18.930793556529,18.1893
19.01593033226,17.503
19.023775597188,18.5987
19.046712766781,16.2574
19.094749225549,16.7893
19.122306896797,16.8395
19.170715717969,17.814
19.188350385516,16.8668
19.19834774551,15.688
19.446893975766,18.8936
19.503564480984,18.3439
19.563795277607,18.7312
19.575606753799,15.8132
19.593813081396,18.3329
19.608912599326,16.6239
19.726227818587,18.3625
19.794729013883,19.3184
20.105590059057,15.758
20.134887746316,17.9079
20.165528079323,19.1178
20.368511742122,19.7141
20.521656210482,18.7838
20.538716122695,18.6135
20.690379899317,19.8059
20.734355628556,18.555
20.922363459788,19.0197
21.252955728218,20.2693
21.524276619252,18.5914
21.579178959002,18.2065
21.597808534841,20.0216
21.601824604818,19.8184
21.697667921665,16.3805
21.739721399322,19.0052
21.839865344311,20.2909
21.920190649434,19.5414
21.934390277515,20.0543
22.106434058561,21.6308
22.236997211828,19.6908
22.257694474308,19.6739
22.290139318309,21.488
22.452892445123,18.5438
22.488560146305,20.4226
22.704786928387,21.8862
22.782263773174,19.9699
22.861816996725,19.8816
22.939575581966,21.3272
23.062826576949,22.3906
23.243338109263,17.0149
23.477014651881,21.2615
23.688744244481,21.6972
23.776528080086,22.4423
23.783019712862,21.9758
23.850699327998,21.3078
24.096250472777,22.1626
24.217621080832,23.6777
24.253221957375,20.8503
24.351850281724,22.6597
24.646379049039,22.0844
24.887160119547,23.4796
24.90728648978,24.4798
24.953405252465,22.7912
25.071706037807,20.4629
25.121397204766,24.0079
25.240926068797,23.4292
25.299772535416,25.1808
25.43952571682,20.3894
25.759989068368,23.4808
25.835989572873,23.3636
25.887684989963,24.4168
25.947335435071,22.7851
26.057325529472,19.7006
26.163631137971,24.8375
26.213139877407,23.1748
26.231219559669,22.4131
26.238835527898,24.2107
26.241527537124,24.4081
26.546952632823,23.5583
26.745173590228,23.1284
26.846189127511,23.8284
26.9985219833,25.8991
27.008205249445,25.7414
27.076181459216,23.6692
27.101625278545,24.3077
27.187295920196,23.7338
27.547610512264,25.9008
27.620958564185,25.847
27.82812814076,22.2323
27.858630614931,26.9646
27.99340126881,27.3921
28.050989547911,24.8349
28.063954757142,24.2508
28.11933059066,25.7689
28.393310762113,26.5977
28.43751669131,26.8055
28.549215407273,26.5849
28.559858874044,26.6627
28.564367279856,24.8617
28.728499460257,26.2043
28.833342684081,25.9412
28.966506294471,26.536
29.017687945367,27.4904
29.087499284221,26.1209
29.203081331524,26.7992
29.26479701226,26.6099
29.279454253247,26.0556
29.341012167827,24.6417
29.445025036887,24.6873
29.462346223431,25.4329
29.613997334631,29.2217
29.765741274498,29.1204
29.84979397134,27.7039
29.870703435236,26.896
30.043627527897,28.0819
30.153998345854,29.5704
30.160958338327,25.2634
30.182465502259,23.9346
30.290248652006,27.2223
30.613726360998,25.0202
30.623235755924,28.8119
30.672163143202,28.7497
30.709099434847,28.3176
30.757318573806,27.6132
30.778923298888,29.1768
30.82806582043,28.3657
30.855631812502,27.7829
31.012815555242,27.8394
31.06871989095,29.7949
